ENGLISH,ENGLISH_LEN,AFRIKAANS_LEN,ALBANIAN_LEN,ARABIC_LEN,ARMANIAN_LEN,AZERBAIJANI_LEN,BASQUE_LEN,BELARUSIAN_LEN,BENGALI_LEN,BOSNIAN_CHECKED_LEN,BULGARIAN_LEN,CATALAN_LEN,CEBUANA_LEN,CHINESE_LEN,CROATIAN_LEN,CZECH_LEN,DANISH_LEN,DUTCH_LEN,ESPERNTO_LEN,ESTONIAN_LEN,FILIPINO_LEN,FINNISH_LEN,FRENCH_Checked_LEN,GALICIAN_LEN,GEORGIAN_LEN,GERMAN_LEN,GREEK_LEN,GUJARATI_LEN,HAITIAN CREOLE_LEN,HAUSA_LEN,HEBREW_checked_LEN,HINDI_LEN,HMONG_LEN,HUNGARIAN_LEN,ICELANDIC_LEN,IGBO_LEN,INDONESIAN_LEN,IRISH_LEN,ITALIAN_checked_LEN,JAPANESE_LEN,JAVANESE_LEN,KANADA_LEN,KHMER_LEN,KOREAN_checked_LEN,LAO_LEN,LATIN_LEN,LATVIAN_LEN,LITHUANIAN_LEN,MACEDONIAN_LEN,MALAY_LEN,MALTESE_LEN,MAORI_LEN,MARATHI_LEN,MONGOLIAN_LEN,NEPALI_LEN,NORWEGIAN_LEN,PERSIAN_check_LEN,POLISH_checked_LEN,PORTUGUESE_checked_LEN,PUNJABI_LEN,ROMANIAN_LEN,RUSSIAN_checked_LEN,SERBIAN_LEN,SLOVAK_LEN,SLOVENIAN_LEN,SOMALI_LEN,SPANISH_checked_LEN,SWAHILI_LEN,SWEDISH_LEN,TAMIL_LEN,TELUGU_LEN,THAI_LEN,TURKISH_LEN,UKRANIAN_LEN,URDU_LEN,VIETNAMESE_checked_LEN,WELSH_Checked_LEN,YIDDISH_LEN,YORUBA_LEN,ZULU_LEN,
telescope,9,9,8,12,18,8,10,16,18,8,16,9,10,9,8,10,8,9,10,9,10,10,10,10,27,8,20,27,9,19,12,18,12,8,9,8,8,11,10,9,8,24,27,9,NA,NA,9,10,20,8,10,4,59,16,27,8,12,8,11,NA,8,16,16,12,8,5,10,8,8,30,30,42,8,16,12,17,8,20,15,19,
weight,6,5,6,10,6,6,5,8,9,7,10,3,10,6,7,8,5,7,4,4,7,5,5,4,12,7,10,9,3,5,8,12,15,5,6,7,5,8,4,6,5,9,15,6,12,6,5,6,12,11,4,7,9,19,9,4,6,4,4,9,8,6,12,9,5,9,4,5,4,9,15,21,10,8,6,16,6,10,5,13,
bump,4,5,10,8,12,5,7,8,15,7,8,4,5,3,7,7,NA,4,NA,4,4,8,5,6,NA,7,14,12,5,4,10,15,4,9,5,5,12,NA,6,9,6,12,9,6,9,4,6,5,12,NA,NA,4,18,18,15,NA,26,3,7,12,5,8,10,8,8,6,8,6,NA,36,NA,21,8,8,12,5,6,6,5,16,
house,5,4,7,8,8,2,5,6,6,5,8,4,5,6,5,4,3,4,4,4,5,4,6,4,15,4,10,6,3,5,6,6,4,4,4,7,5,5,4,3,NA,9,12,3,15,5,5,5,8,5,NA,5,6,12,6,5,8,3,4,13,5,6,8,3,5,6,4,6,3,12,15,12,2,14,6,4,3,8,3,7,
hard,4,NA,12,6,10,6,5,14,12,4,12,3,9,3,4,8,6,NA,9,5,8,4,3,8,15,6,12,15,7,4,6,12,5,7,7,3,5,4,9,9,NA,9,9,9,9,9,6,6,10,5,NA,6,12,10,12,5,6,8,8,12,4,14,10,8,6,4,4,5,5,12,21,9,3,16,8,6,5,10,4,13,
used,4,7,11,12,18,11,11,39,21,7,22,4,7,3,7,9,5,8,5,9,7,9,4,5,21,9,30,15,7,NA,10,24,3,9,6,5,5,11,5,15,14,27,12,9,27,NA,7,8,16,9,6,10,24,18,24,5,36,8,5,12,7,24,14,9,8,NA,5,8,9,36,30,30,14,32,35,20,11,12,7,25,
bland,5,4,7,8,18,7,NA,10,12,4,16,6,10,6,4,6,7,5,8,8,4,17,4,6,NA,4,10,15,NA,1,6,9,NA,7,NA,10,5,3,6,24,5,21,15,12,NA,7,8,8,16,6,NA,8,21,25,12,4,24,10,10,15,5,12,10,6,NA,8,4,NA,13,24,21,21,8,11,10,12,7,12,NA,10,
fever,5,5,4,6,8,10,7,18,12,8,12,5,7,6,8,8,5,6,5,7,6,5,7,5,21,6,14,22,7,7,6,15,12,4,4,NA,5,8,6,6,7,12,15,3,24,6,7,14,12,5,4,6,9,16,15,5,4,9,5,28,6,18,16,9,29,6,6,4,5,27,18,9,5,18,8,5,6,6,3,16,
obsession,9,8,4,8,26,10,7,22,12,8,10,9,NA,6,8,9,11,8,7,11,16,11,9,9,30,12,18,15,4,19,14,24,NA,16,11,3,6,NA,10,12,6,12,27,6,NA,NA,11,6,16,6,10,7,21,21,9,10,10,7,9,NA,7,22,16,12,10,6,9,NA,9,15,21,39,9,22,8,15,8,20,14,25,
literature,10,10,8,6,26,11,10,20,21,12,20,10,10,6,12,10,10,10,10,9,9,12,12,10,30,9,20,21,8,16,10,21,11,8,11,11,9,10,11,6,6,21,36,6,27,NA,11,11,20,13,11,NA,21,21,21,10,12,10,10,15,11,20,20,11,10,9,10,8,10,27,24,24,8,20,6,13,12,20,8,22,
scent,5,4,6,10,18,5,6,6,15,5,12,4,4,6,5,6,4,4,5,5,9,6,6,7,12,4,14,15,4,6,6,15,7,5,4,5,3,6,7,6,8,15,30,6,21,5,7,6,10,3,NA,6,15,6,12,4,10,6,7,18,6,12,10,6,4,5,4,6,4,15,12,15,4,6,10,13,5,10,7,16,
since,5,6,8,6,8,5,8,2,18,2,15,3,5,3,2,2,5,5,4,6,9,5,6,5,38,4,6,6,4,3,6,23,4,4,7,16,6,10,2,6,5,21,30,7,30,3,5,3,4,5,6,5,15,19,9,5,4,9,5,12,10,2,4,2,3,3,5,5,5,15,15,21,4,2,11,4,3,8,5,24,
pigeon,6,4,8,10,12,11,4,10,18,5,10,5,9,6,5,5,3,4,7,4,8,9,6,5,NA,5,18,15,5,9,8,15,9,6,5,5,7,4,8,12,4,21,15,9,15,8,7,8,10,7,7,NA,15,12,15,NA,10,7,5,9,11,12,10,5,5,6,6,6,4,12,15,21,9,10,10,14,7,8,9,16,
unknown,7,9,10,17,12,8,9,16,15,9,20,10,11,6,8,9,6,8,8,8,12,10,7,12,21,9,16,18,5,NA,13,18,NA,10,8,6,9,9,11,6,10,18,27,13,18,7,9,10,16,15,13,NA,18,21,18,6,16,8,12,15,10,22,16,8,6,15,11,11,6,21,21,21,10,18,14,12,8,20,6,19,
venom,5,3,4,4,20,7,6,4,9,5,12,5,4,6,5,3,NA,6,6,5,8,6,5,6,NA,4,18,9,5,11,6,9,NA,6,5,NA,9,NA,6,3,NA,9,NA,6,NA,7,4,6,14,5,6,9,15,6,9,4,4,3,6,15,5,4,10,3,NA,8,6,4,NA,27,15,9,5,12,6,12,7,8,NA,10,
investigation,13,9,5,10,28,8,8,24,15,7,22,13,13,6,7,15,13,9,7,8,12,8,8,14,27,12,12,12,13,18,10,12,17,10,9,12,11,10,9,6,10,15,39,6,27,12,13,7,18,8,15,12,12,27,27,14,10,9,14,21,13,24,14,13,9,9,14,9,9,27,21,27,11,22,14,11,10,22,5,13,
safety,6,10,6,10,26,16,10,14,27,11,22,9,12,6,10,11,9,10,8,6,10,12,10,10,33,10,16,18,8,6,12,21,14,10,7,7,11,15,9,6,NA,24,30,6,27,7,9,8,20,11,8,7,30,27,21,9,10,15,10,28,11,24,20,12,7,8,9,7,9,30,15,33,9,14,10,8,9,20,6,22,
surprise,8,10,6,12,14,8,8,14,21,12,16,8,9,3,12,12,12,10,8,8,8,8,8,8,30,13,14,21,6,6,10,21,NA,11,6,13,12,6,8,6,NA,36,42,6,15,6,12,10,24,7,9,7,21,18,21,12,8,13,8,18,9,14,20,11,13,4,8,8,13,27,27,18,8,14,20,11,6,18,7,22,
clover,6,NA,7,6,16,5,7,16,39,9,16,7,NA,3,9,5,7,6,8,10,7,5,7,5,NA,4,16,57,6,NA,8,31,NA,7,6,5,8,7,9,15,8,21,24,9,NA,9,10,7,16,8,5,NA,18,31,NA,7,8,9,5,NA,6,12,16,9,7,4,7,NA,7,107,33,36,5,16,13,21,10,16,NA,32,
belief,6,6,5,10,10,4,9,8,21,10,8,8,6,6,10,5,3,6,5,3,10,7,8,6,18,7,10,21,7,5,10,21,10,3,4,7,9,9,8,6,5,18,12,6,27,5,7,10,16,11,7,9,21,10,21,5,8,5,7,21,10,8,16,5,12,9,8,5,3,27,18,27,6,8,8,10,4,12,7,22,
siege,5,5,7,8,16,10,6,12,15,6,12,7,8,6,6,10,9,10,6,9,8,8,6,5,15,10,18,9,5,NA,8,24,NA,6,8,13,11,8,7,6,11,24,33,13,NA,9,9,10,12,11,7,9,12,14,12,9,12,11,5,24,6,10,12,10,9,8,5,10,10,24,21,21,8,12,12,8,11,10,5,25,
eternal,7,5,14,8,20,7,9,10,18,7,10,5,19,6,7,8,4,6,6,7,14,7,8,6,27,4,14,18,17,9,8,15,17,6,6,10,5,8,6,9,8,15,42,9,24,8,9,8,10,5,6,4,18,14,15,5,8,7,6,15,7,12,10,7,6,8,6,6,5,21,27,21,5,12,8,13,10,10,7,16,
sheer,5,4,10,8,12,3,NA,10,12,10,8,3,NA,6,3,9,NA,4,5,5,19,6,3,4,21,3,16,21,6,7,8,12,6,6,6,6,5,6,4,9,7,12,12,9,NA,8,8,12,18,11,NA,12,18,6,15,NA,6,11,4,15,3,20,8,9,NA,NA,4,NA,4,15,24,18,5,12,10,14,3,12,5,13,
cookie,6,6,8,8,12,6,8,12,28,9,18,6,NA,6,9,8,NA,6,7,7,NA,11,7,8,NA,10,20,12,6,4,12,12,13,15,3,4,3,7,8,12,NA,12,12,6,15,9,6,9,12,NA,NA,8,54,16,12,NA,12,10,8,18,6,14,14,9,9,NA,9,NA,4,18,12,18,8,12,8,9,4,8,6,13,
attendant,9,13,15,8,16,13,NA,18,12,8,22,9,10,9,5,8,8,10,6,6,10,9,9,9,24,9,14,15,7,4,10,15,11,9,15,13,8,11,11,18,6,27,12,9,21,10,9,9,20,7,NA,8,24,12,15,NA,19,13,10,21,11,18,14,9,8,13,9,8,8,24,24,21,8,18,8,5,11,20,5,16,
beginning,9,5,6,10,10,12,6,14,12,8,12,12,8,6,8,9,8,5,10,5,6,4,6,6,30,6,8,15,8,4,10,18,3,6,5,5,4,8,6,6,8,12,27,6,27,9,7,8,14,7,4,7,18,10,12,8,8,9,7,15,8,12,14,9,8,12,9,6,7,24,24,33,12,14,8,16,9,14,14,19,
chlorine,8,6,4,12,8,4,5,8,21,4,8,4,6,3,4,6,4,6,5,5,14,6,6,5,15,5,12,21,9,NA,8,21,NA,5,5,NA,6,9,5,6,5,24,18,6,NA,7,5,7,8,6,6,6,34,12,21,4,6,5,5,18,4,8,8,6,5,NA,5,NA,4,24,24,18,4,8,12,3,6,14,NA,22,
care,4,4,6,10,10,7,6,10,12,5,10,4,10,6,5,6,5,4,5,12,10,5,5,7,24,6,16,15,4,4,12,21,11,12,8,9,9,6,4,6,NA,18,30,6,21,4,6,11,10,9,4,5,15,14,24,6,12,6,7,18,10,16,8,14,4,9,7,6,5,24,18,21,6,12,17,10,5,12,7,22,
keen,4,6,10,8,8,3,5,12,15,11,10,6,6,6,11,8,6,6,7,7,7,7,3,6,12,6,16,12,4,NA,8,18,4,6,7,5,5,4,5,6,8,15,9,12,NA,4,8,8,12,8,8,4,18,22,15,5,10,5,6,15,8,12,18,8,10,8,7,6,10,15,24,36,6,14,8,9,7,10,5,19,
keel,4,NA,5,10,12,NA,4,8,31,8,6,6,NA,6,8,4,4,4,4,4,6,5,6,6,NA,4,12,12,7,NA,10,15,NA,10,7,NA,5,NA,7,9,NA,40,36,6,NA,7,7,5,10,5,NA,6,82,8,15,5,17,3,6,NA,6,8,16,4,8,NA,6,NA,4,55,6,24,6,8,8,15,7,6,NA,16,
place,5,4,4,8,6,3,4,10,15,6,10,4,5,6,6,6,4,6,4,4,5,6,4,5,18,3,8,15,4,4,8,9,9,4,7,3,6,4,5,6,9,12,18,6,24,6,5,5,10,6,4,4,15,10,12,4,6,7,5,12,3,10,10,6,4,4,5,6,5,12,18,12,3,10,6,4,3,8,3,10,
projectile,10,10,7,10,6,6,9,12,33,9,12,9,NA,9,9,9,9,10,8,6,12,5,10,9,NA,8,10,18,9,NA,6,30,NA,9,NA,NA,9,NA,10,9,6,27,NA,9,9,8,10,9,20,6,10,NA,45,NA,30,10,12,6,9,27,9,12,18,9,9,4,9,NA,9,18,30,36,5,12,14,20,6,28,NA,31,
think,5,4,6,10,12,12,4,12,9,7,10,6,8,3,7,12,6,6,7,8,8,8,6,6,21,6,12,24,5,6,10,15,3,6,5,7,8,15,7,9,5,36,9,12,18,4,6,7,12,8,NA,8,28,19,15,4,15,8,6,15,5,12,14,13,6,12,6,8,3,15,42,9,11,12,13,4,6,14,5,16,
first,5,6,7,10,12,3,5,10,15,4,10,6,3,6,4,6,7,6,4,7,4,12,9,8,21,5,10,15,6,8,10,12,5,5,5,4,7,6,5,9,7,15,15,3,30,5,7,6,8,7,5,7,15,10,15,7,6,8,8,15,16,12,8,5,4,10,7,6,6,15,15,36,3,12,8,12,6,12,9,13,
cheese,6,4,7,6,10,6,5,6,12,3,12,8,4,6,3,4,3,4,8,5,4,6,7,6,15,5,8,12,6,4,10,12,NA,4,5,5,4,5,9,9,4,18,6,6,21,6,5,6,12,4,6,5,78,12,12,3,8,3,6,12,8,6,6,3,3,NA,5,6,3,39,18,9,6,6,8,8,4,6,9,13,
suffix,6,12,12,10,18,14,8,12,129,6,12,5,NA,6,6,9,7,13,7,6,8,8,7,6,24,3,16,21,6,NA,10,21,NA,7,10,5,7,8,8,18,7,21,18,9,18,7,10,8,12,7,7,7,80,18,21,7,10,10,6,18,5,14,12,8,7,11,6,NA,8,30,27,21,5,12,10,10,11,14,NA,22,
requirement,11,8,9,8,12,7,9,24,24,7,18,8,13,6,7,10,4,3,7,5,15,8,8,9,24,11,16,24,9,13,10,24,17,13,5,9,9,10,9,6,NA,15,27,13,42,9,8,12,12,9,9,12,9,18,24,6,8,9,10,19,9,20,10,11,7,7,9,11,6,12,15,33,10,12,10,10,8,18,6,25,
one,3,3,4,8,6,3,3,10,6,5,8,23,9,3,5,5,2,3,3,4,3,4,2,2,12,3,8,6,8,4,6,6,2,3,4,3,4,7,3,1,4,12,9,3,15,4,5,6,8,4,7,6,6,6,6,3,4,5,2,9,4,8,10,5,3,10,3,4,3,15,6,15,3,8,6,5,2,6,6,7,
fantasy,7,8,7,8,16,9,8,16,18,9,16,8,8,6,9,8,NA,8,8,9,9,8,9,9,24,8,16,24,NA,NA,12,18,NA,9,13,NA,7,NA,8,18,7,33,NA,6,9,NA,10,9,18,7,9,6,40,21,18,NA,12,6,8,NA,8,16,18,9,NA,7,9,NA,7,15,18,27,7,16,10,17,8,20,7,19,
comforter,9,8,12,12,16,12,NA,16,39,6,16,7,10,6,10,9,10,8,10,11,9,10,11,10,NA,8,12,34,13,NA,8,43,5,11,7,9,9,NA,11,12,NA,30,45,22,30,10,13,8,16,9,NA,13,40,26,40,6,19,12,10,18,12,18,12,7,5,16,8,7,9,50,48,24,6,14,8,14,5,22,7,44,
impossible,10,10,10,12,16,14,9,20,18,8,20,NA,9,9,8,9,6,10,6,8,9,8,10,9,33,10,16,15,7,7,19,15,17,10,11,19,8,10,11,9,5,18,39,12,36,11,12,11,20,8,11,4,15,18,18,6,15,11,11,15,9,22,14,9,9,17,9,11,8,39,21,36,10,18,12,12,8,16,4,16,
array,5,14,4,12,8,NA,NA,10,39,3,10,14,5,6,8,5,6,5,6,NA,4,6,7,4,NA,4,16,9,6,8,8,12,NA,3,NA,9,7,5,7,6,8,15,12,6,21,NA,7,7,8,8,NA,5,110,12,9,7,4,13,5,9,8,10,14,3,7,15,10,4,6,15,18,9,4,10,8,6,10,10,4,13,
glitter,7,NA,9,8,8,9,9,10,21,9,12,9,NA,6,8,11,NA,10,NA,9,8,8,13,6,27,5,10,18,5,12,10,9,NA,8,6,5,5,NA,9,12,15,12,NA,9,NA,9,8,11,12,12,NA,6,15,28,9,NA,10,5,6,15,5,10,16,13,NA,13,9,5,NA,34,18,9,9,10,6,9,6,14,4,10,
horse,5,4,5,8,4,2,5,8,15,4,6,6,6,3,4,5,4,5,7,6,6,7,6,6,NA,5,10,12,5,4,6,15,4,3,6,9,4,6,7,3,5,18,9,3,9,4,5,6,6,4,NA,5,12,8,12,4,6,4,6,12,3,12,6,5,4,5,7,6,5,18,21,9,2,8,10,6,6,8,8,16,
wrath,5,5,8,6,12,7,9,8,9,5,8,3,10,6,5,5,5,5,6,4,5,4,7,3,18,4,8,15,6,6,6,15,18,5,6,3,5,NA,3,6,7,18,36,6,24,3,6,9,12,9,5,4,15,17,15,5,6,5,3,22,6,8,8,4,3,7,3,6,5,15,46,27,5,8,6,17,9,8,5,16,
their,5,3,6,4,10,8,4,4,15,7,10,4,13,9,6,6,5,3,5,3,4,6,4,3,12,4,8,18,2,2,8,12,4,1,7,2,6,4,4,9,4,9,27,9,36,5,5,3,14,6,8,5,21,12,27,5,6,3,3,12,3,4,10,3,7,6,2,3,5,30,28,27,8,4,4,10,2,10,5,13,
authentic,9,10,11,10,18,8,8,18,15,11,20,9,6,6,11,11,10,10,10,8,13,4,11,10,27,11,20,18,12,7,12,27,8,7,4,6,4,11,9,9,4,18,9,9,18,10,10,12,20,5,9,7,15,16,27,9,10,11,10,21,8,18,20,11,12,7,10,6,7,36,18,12,7,18,10,11,5,6,4,28,
bite,4,3,7,6,10,6,5,14,15,7,8,8,6,3,7,4,4,6,5,10,7,5,6,6,NA,7,14,15,5,4,10,9,3,8,5,3,9,NA,7,6,6,12,9,6,9,6,6,8,12,9,5,4,12,10,15,NA,6,7,6,15,6,14,14,4,5,9,6,NA,4,9,12,9,9,14,6,5,6,12,5,10,
traveller,9,8,8,10,22,7,9,20,15,6,26,7,10,6,6,10,8,8,10,7,11,10,8,8,24,8,20,21,8,8,8,18,8,6,12,4,9,12,11,9,13,21,15,9,30,10,10,11,12,10,11,5,21,14,18,8,10,11,8,15,9,28,12,11,8,9,7,7,7,36,30,30,6,20,10,9,8,18,7,19,
obedience,9,14,6,8,28,6,11,26,21,11,18,11,15,6,11,11,8,14,6,8,14,11,11,10,27,8,12,27,9,7,8,33,9,14,8,15,8,NA,10,6,8,21,51,6,33,11,11,11,20,8,10,10,27,37,27,8,10,15,11,24,9,20,20,12,11,8,10,4,6,27,18,33,5,12,10,11,9,30,7,34,
least,5,6,7,8,22,2,9,19,21,8,17,5,12,6,8,9,6,5,8,13,15,8,5,7,21,12,22,31,7,5,8,20,14,12,NA,3,14,3,4,6,6,18,33,6,27,6,9,7,16,9,5,3,15,23,20,5,12,8,7,22,14,16,14,8,4,10,5,7,5,27,15,30,5,19,14,6,6,16,6,21,
swarm,5,5,6,6,10,13,NA,6,12,3,8,5,12,6,3,3,6,5,10,6,11,5,6,6,NA,7,12,15,6,4,8,12,12,3,4,3,10,NA,6,6,5,12,12,3,NA,6,4,9,6,NA,NA,5,12,10,6,5,12,4,6,NA,3,6,6,3,3,5,8,NA,6,37,30,9,5,6,8,13,4,14,NA,13,
too,3,2,6,8,4,4,7,14,21,7,12,5,4,3,8,9,5,3,3,5,7,5,4,6,18,2,17,6,4,10,4,6,4,2,2,3,7,4,6,12,6,12,15,6,33,5,7,8,16,7,4,4,18,6,9,5,4,4,7,19,4,14,12,8,4,10,9,3,8,9,12,18,4,14,6,4,5,4,2,7,
convention,10,9,6,14,18,10,10,18,15,10,18,10,11,6,10,8,10,9,8,12,10,7,10,8,27,10,14,18,10,6,8,21,NA,10,5,8,8,13,11,6,9,18,24,6,30,8,10,10,20,10,11,7,12,14,21,12,14,9,11,18,10,18,20,9,10,4,11,7,10,18,27,27,6,18,12,6,7,16,6,22,
welfare,7,6,10,6,24,9,9,16,18,11,28,8,NA,6,11,5,8,7,8,6,10,11,10,8,33,4,16,18,8,8,10,18,NA,7,8,10,13,4,9,6,4,15,30,6,33,5,12,7,26,9,9,13,18,35,18,7,8,8,9,12,10,28,20,5,14,NA,9,9,9,24,15,27,5,16,22,11,4,8,15,19,
jingle,6,NA,9,8,10,8,NA,8,12,8,49,11,NA,6,8,6,NA,8,NA,9,13,4,9,5,NA,8,22,15,6,NA,11,15,NA,9,NA,3,14,7,9,12,NA,9,NA,12,NA,10,9,9,14,5,NA,4,70,20,NA,NA,26,6,5,NA,11,8,12,6,NA,8,8,NA,5,48,27,15,9,10,6,14,7,16,NA,16,
store,5,NA,5,8,12,7,5,14,21,10,14,6,8,3,12,6,5,6,7,4,8,9,7,5,21,8,18,15,7,NA,8,15,3,4,5,14,4,5,7,3,7,15,9,12,12,5,7,11,20,5,NA,3,18,14,15,8,14,5,4,12,7,14,20,6,8,8,6,9,5,9,15,21,7,14,8,11,4,10,5,16,
tomato,6,7,6,10,10,7,7,14,15,8,10,9,NA,9,8,6,5,6,NA,5,7,8,6,6,21,6,14,15,5,7,14,15,8,10,8,NA,5,8,8,9,5,24,24,9,15,18,7,9,12,NA,5,7,18,25,15,5,19,7,6,15,6,14,16,9,11,6,6,6,5,21,15,27,7,14,10,8,NA,20,6,18,
murder,6,5,6,6,22,11,7,18,15,7,16,10,NA,6,8,7,4,5,7,5,15,5,10,9,27,4,18,15,10,9,6,15,8,11,5,4,10,10,8,6,8,12,21,6,NA,10,11,14,14,10,4,4,9,28,15,4,6,10,11,9,6,16,14,7,4,3,9,6,4,12,12,21,7,16,6,15,13,10,3,16,
thaw,4,7,6,10,16,8,9,12,9,15,24,8,NA,6,9,6,3,4,6,4,10,5,6,6,21,9,8,6,10,5,12,18,NA,8,7,18,7,4,7,6,NA,18,12,12,NA,5,8,10,22,4,8,5,15,14,18,4,13,7,6,21,8,16,17,7,6,9,9,NA,3,33,24,24,5,14,8,12,6,6,NA,19,
punish,6,5,6,12,12,15,10,16,18,7,16,8,7,6,7,7,7,8,4,9,9,9,5,8,15,9,18,9,4,6,12,22,8,7,5,9,9,19,6,9,6,24,21,9,18,8,6,6,10,9,11,5,31,14,12,7,19,6,5,12,7,16,14,8,9,7,8,6,7,24,27,15,14,16,6,6,5,20,6,23,
shawl,5,NA,5,6,6,4,NA,8,9,4,26,3,8,6,4,7,4,5,5,4,7,5,6,4,NA,5,8,9,4,NA,4,9,NA,11,7,NA,9,NA,7,12,10,12,36,3,NA,10,12,5,6,9,NA,4,9,16,24,4,6,4,4,12,4,8,12,6,4,7,4,NA,4,18,15,33,4,8,6,18,5,8,NA,10,
part,4,4,6,6,6,6,5,12,9,3,8,NA,5,6,3,6,3,4,5,3,6,3,6,5,18,4,10,9,4,NA,6,18,7,5,5,9,6,5,5,9,6,9,30,6,12,7,5,5,6,10,5,4,9,10,9,3,6,8,5,22,5,10,6,6,3,4,5,6,5,15,12,27,7,14,6,6,4,8,6,19,
sulphur,7,5,7,10,12,8,5,8,15,6,8,5,6,3,6,5,5,6,7,8,15,5,6,5,24,8,8,15,4,6,12,15,6,4,11,9,6,7,5,6,8,12,21,3,24,6,5,5,12,6,6,9,12,14,15,6,10,6,7,12,4,8,12,5,7,9,6,8,6,21,24,21,8,10,10,12,7,12,4,16,
stifle,6,9,4,6,12,9,NA,12,15,8,18,7,NA,6,8,9,6,10,8,10,15,11,9,7,NA,9,20,NA,8,NA,12,15,NA,8,4,NA,11,NA,9,15,NA,30,18,12,NA,7,10,8,12,8,8,6,34,18,30,5,15,9,7,NA,10,12,14,10,7,5,7,11,6,52,46,21,10,12,21,10,4,16,NA,16,
than,4,2,2,4,6,4,5,6,21,2,4,3,3,3,2,4,3,3,2,3,5,4,3,3,12,3,6,15,4,4,8,6,5,4,2,7,4,3,2,6,4,18,9,11,12,4,5,4,4,8,4,5,18,8,15,3,13,4,3,9,6,6,4,3,3,8,3,6,3,30,12,12,5,6,4,4,2,6,2,7,
upholstery,10,10,8,10,36,14,10,12,49,11,18,10,NA,6,11,13,9,10,6,10,9,8,10,8,NA,7,20,34,9,NA,10,15,NA,7,9,NA,12,NA,11,6,11,15,15,6,NA,NA,6,10,14,10,11,NA,89,12,15,11,37,9,11,NA,10,12,20,13,12,8,10,NA,8,9,NA,12,8,14,15,5,12,26,NA,16,
bother,6,3,7,10,20,7,5,18,28,7,16,8,5,3,8,11,5,4,5,5,9,7,5,9,36,5,12,15,7,4,21,21,4,5,6,11,10,9,11,6,9,15,15,9,NA,9,6,9,10,10,6,4,43,21,18,3,17,10,9,12,7,24,14,12,6,8,8,NA,3,24,21,12,6,18,12,10,10,8,5,22,
kink,4,6,7,6,14,6,NA,10,12,4,12,4,NA,6,9,7,8,NA,NA,7,7,10,8,8,NA,5,8,9,2,NA,10,18,NA,6,NA,NA,8,NA,4,9,NA,9,NA,6,NA,7,8,11,26,9,5,NA,21,NA,12,NA,19,6,8,NA,3,10,6,7,NA,NA,7,NA,NA,125,30,18,10,10,6,6,7,8,NA,19,
optimism,8,9,10,14,28,9,12,16,18,9,18,9,13,6,9,10,9,9,9,NA,28,9,9,9,27,10,20,18,7,4,18,18,NA,10,10,9,9,7,9,6,10,18,51,12,24,NA,9,10,18,9,10,9,18,12,21,9,15,8,8,24,NA,16,18,10,9,4,9,9,NA,27,21,15,10,16,8,10,7,20,NA,19,
savant,6,NA,7,13,NA,9,NA,12,49,8,8,4,NA,6,8,7,NA,12,NA,18,16,7,6,5,NA,9,10,34,5,NA,10,21,NA,6,NA,NA,7,NA,5,6,NA,15,NA,6,NA,6,11,8,NA,10,NA,NA,40,NA,21,NA,8,6,6,NA,NA,12,14,7,7,12,5,NA,NA,27,50,12,6,12,8,10,9,10,NA,22,
idle,4,NA,9,8,10,4,NA,14,9,9,12,6,15,6,9,9,7,5,8,10,15,13,8,8,21,8,16,27,19,4,6,15,3,7,13,15,4,10,8,12,6,12,15,9,30,7,6,9,18,7,NA,7,12,19,21,7,22,9,7,15,7,16,18,9,NA,13,6,6,7,18,30,12,4,16,10,11,5,12,11,16,
guilt,5,5,3,6,8,7,4,8,12,7,8,5,4,6,7,4,5,6,5,10,11,10,12,5,27,6,10,15,6,6,8,15,6,11,4,4,9,9,5,6,9,15,15,3,39,5,5,6,8,13,6,2,18,23,12,5,8,4,5,12,11,8,14,4,6,19,5,5,5,21,15,21,9,8,6,11,9,8,9,16,
iron,4,5,5,8,10,6,7,12,12,8,12,5,6,3,8,7,4,5,4,4,5,5,3,5,18,5,12,15,3,6,8,12,4,3,5,4,4,6,5,3,4,18,21,3,24,6,6,9,12,4,6,4,15,14,12,4,6,7,5,12,4,12,12,7,8,5,6,5,5,21,15,15,5,12,8,4,6,12,4,13,
coat,4,3,6,8,16,7,8,12,9,5,10,5,6,6,5,4,6,3,6,6,9,5,7,6,21,6,10,9,3,5,8,9,11,6,6,5,6,5,8,9,3,12,24,6,36,6,8,6,10,3,NA,4,12,6,9,5,4,8,6,9,6,12,10,5,7,6,6,5,5,12,12,27,5,12,6,3,3,12,7,10,
and,3,2,3,2,6,3,3,2,9,1,2,1,2,3,1,1,2,2,3,2,2,2,2,1,6,3,6,9,2,2,4,6,5,3,2,NA,3,4,1,3,3,15,9,8,9,2,2,2,2,3,1,5,9,10,3,2,2,1,1,9,3,2,2,1,2,3,1,NA,3,21,15,9,2,2,6,3,1,6,3,7,
fashion,7,4,8,8,8,4,4,8,18,4,8,4,NA,6,4,5,4,4,4,4,4,5,4,4,15,4,8,9,4,NA,10,15,NA,5,6,5,4,7,4,18,NA,21,12,6,28,4,4,4,8,6,4,NA,9,12,12,4,6,4,4,15,5,8,8,5,NA,NA,4,6,4,15,21,18,4,8,8,12,7,8,6,16,
